id;nome;telefone;limite
1;Credit Card Account;Tools Handmade;98890
2;New Jersey enterprise synthesize;Operative Green Incredible;35081
3;card Wooden;Bolivar Fuerte Up-sized Savings Account;1346
4;Wisconsin;incubate;89452
5;matrix Accounts;initiatives policy cross-platform;75345
6;Specialist digital Product;override;24769
7;Music feed North Dakota;Auto Loan Account blue;42565
8;tan transitional Flat;Avon Shoal dynamic;26783
9;user-facing Intelligent Granite;Home Frozen Handcrafted;98992
10;deposit instruction set;Dynamic pixel New Mexico;38597
